start_node_id,end_node_id,relationship_type,weight
1486545284,Graph,HAS_FOS,0.0
1486545284,Discrete mathematics,HAS_FOS,0.43915
1486545284,Knowledge representation and reasoning,HAS_FOS,0.52164
1486545284,Lattice (order),HAS_FOS,0.40584
1486545284,Computer science,HAS_FOS,0.45499
1486545284,Mathematical theory,HAS_FOS,0.58324
1486545284,Conceptual graph,HAS_FOS,0.65719
1486545284,Lattice Miner,HAS_FOS,0.66313
1486545284,Formal concept analysis,HAS_FOS,0.58044
1607327839,Information system,HAS_FOS,0.62172
1607327839,Management information systems,HAS_FOS,0.5984
1607327839,Rationality,HAS_FOS,0.55308
1607327839,Project stakeholder,HAS_FOS,0.55104
1607327839,Computer science,HAS_FOS,0.42971
1607327839,Philosophical analysis,HAS_FOS,0.53339
1607327839,Management science,HAS_FOS,0.47021
1493062108,Key space,HAS_FOS,0.58094
1493062108,Watermarking attack,HAS_FOS,0.58835
1493062108,Discrete mathematics,HAS_FOS,0.41221
1493062108,Computer science,HAS_FOS,0.41576
1493062108,Computer security,HAS_FOS,0.4
1493062108,Interpolation attack,HAS_FOS,0.61761
1493062108,Arithmetic,HAS_FOS,0.42571
1493062108,XSL attack,HAS_FOS,0.60867
1493062108,Chosen-ciphertext attack,HAS_FOS,0.63574
1493062108,Slide attack,HAS_FOS,0.61964
1493062108,Ciphertext-only attack,HAS_FOS,0.6224
1493062108,Key size,HAS_FOS,0.57078
1890547763,Discrete mathematics,HAS_FOS,0.46519
1890547763,Empty set,HAS_FOS,0.54568
1890547763,Negation,HAS_FOS,0.4532
1890547763,Boolean satisfiability problem,HAS_FOS,0.52294
1890547763,Constraint programming,HAS_FOS,0.61034
1890547763,Operator (computer programming),HAS_FOS,0.49636
1890547763,If and only if,HAS_FOS,0.45318
1890547763,Mathematics,HAS_FOS,0.431
1536942514,Discrete mathematics,HAS_FOS,0.41418
1536942514,Data structure,HAS_FOS,0.42229
1536942514,Combinatorics,HAS_FOS,0.41152
1536942514,Polygon,HAS_FOS,0.4802
1536942514,Planarity testing,HAS_FOS,0.59161
1536942514,Computer science,HAS_FOS,0.39456
1536942514,Computational geometry,HAS_FOS,0.46822
1536942514,Planar,HAS_FOS,0.42321
1536942514,Simple polygon,HAS_FOS,0.46089
1536942514,Connectivity,HAS_FOS,0.42474
1536942514,Planar graph,HAS_FOS,0.4754
1521716811,Convergence (routing),HAS_FOS,0.45092
1521716811,Computer science,HAS_FOS,0.44507
1521716811,Theoretical computer science,HAS_FOS,0.4618
1521716811,Artificial intelligence,HAS_FOS,0.0
1521716811,Genetic algorithm,HAS_FOS,0.54474
1521716811,Computer programming,HAS_FOS,0.46549
1521716811,Mathematical optimization,HAS_FOS,0.44907
1521716811,Implicit parallelism,HAS_FOS,0.57122
1521716811,Invariant (physics),HAS_FOS,0.45263
1521716811,Fitness function,HAS_FOS,0.6236
1521716811,Invariant (mathematics),HAS_FOS,0.47069
1521716811,Genetic representation,HAS_FOS,0.61849
1521716811,Machine learning,HAS_FOS,0.44501
1557222664,Transposition cipher,HAS_FOS,0.60315
1557222664,Cipher,HAS_FOS,0.60089
1557222664,Rip van Winkle cipher,HAS_FOS,0.5968
1557222664,Affine cipher,HAS_FOS,0.59344
1557222664,Block cipher,HAS_FOS,0.58785
1557222664,Computer science,HAS_FOS,0.41673
1557222664,CBC-MAC,HAS_FOS,0.58655
1557222664,Parallel computing,HAS_FOS,0.42912
1557222664,Cryptographic hash function,HAS_FOS,0.60082
1557222664,Computer network,HAS_FOS,0.41118
1557222664,Stream cipher,HAS_FOS,0.61484
1890449996,Integral cryptanalysis,HAS_FOS,0.64909
1890449996,Higher-order differential cryptanalysis,HAS_FOS,0.67829
1890449996,Boomerang attack,HAS_FOS,0.68384
1890449996,Computer security,HAS_FOS,0.40891
1890449996,Computer science,HAS_FOS,0.4095
1890449996,Interpolation attack,HAS_FOS,0.64495
1890449996,Theoretical computer science,HAS_FOS,0.41315
1890449996,Side channel attack,HAS_FOS,0.6266
1890449996,Linear cryptanalysis,HAS_FOS,0.6878
1890449996,Slide attack,HAS_FOS,0.62903
1890449996,Differential cryptanalysis,HAS_FOS,0.64035
97703442,Information system,HAS_FOS,0.66111
97703442,Management information systems,HAS_FOS,0.66439
97703442,Intelligent decision support system,HAS_FOS,0.64243
